Nom;Ville;Departement;Websites;Mail;Produits;Infos
"AMAP de Campbon";campbon;44;go.php?typ=1&id=771;amapcampbon@gmail.com;" Légumes, pain, volaille, oeufs";"Distribution le jeudi de 18h à 19h30 à la Ferme de Pitoué - La Croletais."
"Amap de l'Artuziere";chapelle-basse-mer;44;go.php?typ=1&id=2286;lesjardinsdelavallee44450@gmail.com;" Légumes";"Distribution le vendredi de 17h à 19h30 ou le samedi de de 9h à 13h à la ferme ""Les Jardins de la Vallée"" - 38, bis l'Artuzière."
"Le Panier de la Mée";chateaubriant;44;https://www.facebook.com/groups/703618616669517/;amapcastelbriant@gmail.com;" Légumes, pommes, oeufs, volaille, produits laitiers, fromage de chèvre, pain, sel";"Distribution le vendredi de 18h15 à 19h15 sous le préau de la MAPA - rue Denieul et Gastineau (en face du parc)."
"AMAP les 4 Saisons";clisson;44;go.php?typ=1&id=808;amapdesquatsaisons@gmail.com;" Légumes BIO, fruits BIO, produits laitiers BIO, volailles BIO, oeufs BIO, pain & farine BIO, tisane BIO, vin BIO, miel BIO";"Distribution le jeudi de 18h30 à 19h30 à la cave voutée sous la salle du perron située au jardin la Garenne Valentin (accès depuis Place de la Trinité)."
"AMAP Poisson de l'Oisilière";corcoue-sur-logne;44;;emilie.ravalli@gmail.com;" Poissons";"Une livraison mensuelle le mercredi de 18h30 à 19h30 à La ferme des ""100 poules et..."" - La Fiolière."
"AMAP de Couëron";coueron;44;go.php?typ=1&id=772;amap.coueron@gmail.com;" Légumes, pommes, agrumes, produits laitiers, oeufs, pain, viandes, volaille, poisson, bière, miel, sel";"Distribution le mardi de 18h à 19h15 au Mille Club -9, rue de La Corbardière. ATTENTION: - pour la viande bovine, le vendredi directement à la Vinaudière à Coueron (chez Didier CHUNIAUD) - pour le poisson, il s'agit d'une organisation par quartier."
"AMAP de Grandchamps";grandchamps-des-fontaines;44;go.php?typ=1&id=774;amap.gdf@free.fr;" Légumes, champignons, fromage, volaille, viandes, pain, oeufs BIO, poisson, farine, céréales, huile, confiture, miel";"Distribution le vendredi de 18h à 19h rue du Général de Gaulle (en face de la pharmacie)."
"AMAP de Guémené";guemene-penfao;44;go.php?typ=1&id=1377;contact@lavalleedelalune.fr;" Légumes, pain, fromage de chèvre, oeufs, volaille";"Distribution le mardi de 18h à 19h30 au Presbytère en face de la gendarmerie."
"Amap de la Ferme de Lévéra";guerande;44;go.php?typ=1&id=779;contact@consom-acteurs.fr;" Produits BIO";"Distribution le vendredi de 17h à 18h à la ferme à Lévéra - ""La Madeleine""."
"AMAP HERIC";heric;44;"https://www.facebook.com/AMAPdHeric/ | go.php?typ=1&id=770";amap.heric@gmail.com;" Légumes, fruits, produits laitiers, oeufs, volaille, pain, miel";"Distribution le jeudi de 18h à 19h au 14, rue de l'Isac."
"AMAP DE INDRE";indre;44;;amap.indre@gmail.com;" Légumes, fruits, oeufs, volaille, viandes, fromage de chèvre, pain";"Distribution le jeudi de 18h30 à 19h30 rue Joseph Tahet."
"AMAP Fraise-bouc";joue-sur-erdre;44;go.php?typ=1&id=800;fraise.bouc@gmail.com;" Légumes, pain, produits laitiers, volaille, oeufs";"Distribution le samedi de 9h à 12h au Marché des 4 Vents à la Haudinière."
"AMAP du POYET";la-chapelle-heulin;44;go.php?typ=1&id=801;amapdupoyet@orange.fr;" Légumes, fruits, oeufs, poisson, porc, poulet, pain, fromage de chèvre, vin";"Distribution le vendredi de 18h30 à 19h30 au Manoir de la Mottrie."
"AMAP de Gesvrine";la-chapelle-sur-erdre;44;go.php?typ=1&id=773;amapdegesvrine@gmail.com;" Légumes, pommes, pain, fromage de chèvre, volailles, oeufs, viande";"Distribution le mardi de 17h30 à 18h45 à l'annexe du château de l'Hopitau (Quartier de Gesvrine)."
"AMAP du Limeur";la-chapelle-sur-erdre;44;go.php?typ=1&id=797;amap.limeur@gmail.com;" Légumes, oeufs, volaille, pain, viandes, poisson";"Distribution le jeudi de 18h à 19h30 à la ferme du Limeur. Distribution un mardi par mois de 18h à 19h pour les colis de poissons."
"AMAP du Plessis";la-chapelle-sur-erdre;44;go.php?typ=1&id=804;amaplachapelle@gmail.com;" Légumes, agrumes, pain, miel, oeufs, volaille, produits laitiers viandes, chèvre, sel, tisanes";"Distribution le vendredi de 17h30 à 19h à La ferme du Plessis."
"LES AMAPEURS DU VIGNOBLE";la-haie-fouassiere;44;go.php?typ=1&id=799;amapeur@gmail.com;" Légumes BIO, viande bovine, oeufs BIO, pain BIO, bière BIO";"Distribution le jeudi soir à la salle du Bois-Geffray."
"AMAP RETZ GAL La Montagne";la-montagne;44;"https://www.facebook.com/share/15zcemdxwD/ | go.php?typ=1&id=805";amap.lamontagne@gmail.com;" Légumes, oeufs, pain, miel, viandes (porc, agneau, boeuf, veau), volaille, sel, lait, fromage de brebis, produits laitiers de chèvre et de vache, tisanes, agrumes, bières, champignons, confiture";"Autres produits: coquilles St Jacques, épicerie en vrac, fruits d'été, galettes et crêpes, plants au printemps, huile d'olive, pâtes, charcuterie. Distribution le mardi de 17h30 à 19h30 au Boulodrome de l'A.L.M.- Allée du château d'Aux."
"AMAP LA PLAINE SUR MER PRÉFAILLES";la-plaine-sur-mer;44;go.php?typ=1&id=2034;amapplaine@gmail.com;" Légumes, poulets, pain, ?ufs, spiruline, miel, sel, tisanes, confitures, chutneys, farine & galettes de sarrasin";"Distribution le mardi de 18h à 19h15 au 2, rue Jean Moulin (rond-point de l'Ormelette)- Le Cormier."
"AMAP Landreau-Divatte";le-landreau;44;go.php?typ=1&id=807;amapdivatte@gmail.com;" Légumes, fruits, pain, ?ufs, volailles et rillettes, viande porcine, poisson, fromage de chèvre, pizzas, pâtes, miel";"Distribution le mercredi de 18h30 à 19h30 à la SCOP Pain Virgule - 104, ZA La Bossardière."
"AMAP DU PALLET";le-pallet;44;go.php?typ=1&id=2125;amaplepallet@gmail.com;" Légumes,fruits, volaille, oeufs, pain, poisson, viandes, produits laitiers chèvre et vache, galettes, miel";"Distribution le vendredi de 18h30 à 19h30 derrière l?ancien bureau de poste face à la mairie."
"AMAP de La Bedoutière";les-sorinieres;44;go.php?typ=1&id=1382;information@amapsorinieres.com;" Viande de porc, boeuf, veau, volailles";"Distribution le jeudi de 18h30 à 19h30 sous le préau derrière la mairie - 49, rue Georges Clémenceau. ATTENTION : ne vous garez pas aux abords du préau. Utilisez les parkings disponibles autour de l'église ou derrière le centre social."
"Amap des Sorinières du Mardi";les-sorinieres;44;go.php?typ=1&id=2030;amapsorinieres@hotmail.fr;" Légumes, fruits, pain, viandes (agneau, boeuf), volaille, oeufs, produits laitiers, poissons, miel";"Distribution le mardi de 18h15 à 19h15 sous le préau derrière la mairie."
"AMAP du Moulin Des Noues";les-sorinieres;44;go.php?typ=1&id=1386;lesvergersdumoulin@free.fr;" Fruits";"Distribution le jeudi de 18h30 à 19h30 sous le préau derrière la mairie - 49, rue Georges Clémenceau. ATTENTION : ne vous garez pas aux abords du préau. Utilisez les parkings disponibles autour de l'église ou derrière le centre social."
"AMAP Le Monastérien";les-sorinieres;44;go.php?typ=1&id=1385;lemonasterien@aliceadsl.fr;" Sel";"Distribution le jeudi de 18h30 à 19h30 sous le préau derrière la mairie - 49, rue Georges Clémenceau. ATTENTION : ne vous garez pas aux abords du préau. Utilisez les parkings disponibles autour de l'église ou derrière le centre social."
"AMAP Le Pain qui Chante";les-sorinieres;44;go.php?typ=1&id=1381;information@amapsorinieres.com;" Pain, veau";"Distribution le jeudi de 18h30 à 19h30 sous le préau derrière la mairie - 49, rue Georges Clémenceau. ATTENTION : ne vous garez pas aux abords du préau. Utilisez les parkings disponibles autour de l'église ou derrière le centre social."
"AMAP Les Grands Chênes";les-sorinieres;44;;amapsorinieres@hotmail.fr;" Légumes, fruits";"Distribution le jeudi de 18h à 19h30 sous le préau derrière la mairie - 49, rue Georges Clémenceau. ATTENTION : ne vous garez pas aux abords du préau. Utilisez les parkings disponibles autour de l'église ou derrière le centre social."
"AMAP Oeufs Lapins";les-sorinieres;44;go.php?typ=1&id=1384;bruno.noel@amapsorinieres.com;" Oeufs, lapins";"Distribution le jeudi de 18h à 19h30 sous le préau derrière la mairie - 49, rue Georges Clémenceau. ATTENTION : ne vous garez pas aux abords du préau. Utilisez les parkings disponibles autour de l'église ou derrière le centre social."
"AMAP Poissons des Sorinières";les-sorinieres;44;go.php?typ=1&id=1393;information@amapsorinieres.com;" Poissons";"Distribution le jeudi de 18h à 19h30 sous le préau derrière la mairie - 49, rue Georges Clémenceau. ATTENTION : ne vous garez pas aux abords du préau. Utilisez les parkings disponibles autour de l'église ou derrière le centre social."
"AMAP MACHECOUL";machecoul;44;;amap.machecoul@orange.fr;" Légumes BIO, volaille BIO, oeufs BIO, bière";"Distribution le vendredi de 17h à 19h aux serres de la pépinière Albert Brenelière - rue Marcel Brunelière (en face la Manufacture française du cycle)."
"Amap de la Bossellerie";maisdon-sur-sevre;44;;amapdelabossellerie@laposte.net;" Légumes BIO, pain, ?ufs, produits laitiers";"Distribution le vendredi de 18h à 19h au Verger du Moulin des Noues."
"AMAP Mauves";mauves-sur-loire;44;go.php?typ=1&id=811;amap.mauves44@gmail.com;" Légumes, pommes, poires, volailles, viandes, crêpes, farine, miel, pain, oeufs, fromage de chèvre, produits laitiers, tisane, poisson, agrumes, huile";"Distribution le vendredi de 18h15 à 19h15 au Champ de Foire. ."
"AMAP de Montoir de Bretagne";montoir-de-bretagne;44;https://www.facebook.com/amapmontoir/;detrydavid@gmail.com;" Légumes BIO, fruits BIO";"Distribution le mercredi de 16h à 19h et le samedi de 9h à 12h au 60, avenue de Lorraine (près du rond-point route de Revin). - David DETRY : 06 87 06 30 20"
"AMAP BIOCHANT";nantes;44;;amapbio@laposte.net;" Légumes, fruits, jus de fruits, pain, brioche, oeufs, volaille";"Distribution le jeudi de 18h à 19h au collège de l'Abbaye - 38, rue de l'Abbaye (quartier Chantenay)."
"AMAP Charles Lebourg";nantes;44;go.php?typ=1&id=2505;orrion-loquidy@outlook.fr;" Légumes BIO, fruits, poulet BIO, oeufs BIO, viandes BIO, poisson, confiture";"Distribution le jeudi de 19h à 20h à l'école maternelle Charles Lebourg - 5, rue Charles Lebourg."
"AMAP DE L'ECOLE CENTRALE";nantes;44;;;" Légumes, fruits, oeufs";"Distribution le mardi de 12h15 à 13h45 au 1, rue de la Noë."
"AMAP de l'Hippodrome";nantes;44;go.php?typ=1&id=776;amaphippodrome44@gmail.com;" Légumes, fruits, pain, viande, volaille, oeufs, produits laitiers, agrumes, poisson, tisanes, miel";"Distribution le jeudi de 18h à 19h30 à l'hippodrome - Boulevard des tribunes."
"Amap de l'île";nantes;44;go.php?typ=1&id=777;contact@amapdelile.fr;" Légumes, fruits, agrumes, pain, oeufs, viandes, volaille, produits laitiers, tisane, sel, champignons";"Distribution le lundi de 17h45 à 19h30 à la maison de quartier de l'Île - 2, rue Conan Mériadec."
"AMAP de la Manu";nantes;44;go.php?typ=1&id=781;contact@amapdelamanu.fr;" Légumes, pommes, poires, pain, champignons, oeufs, poulet, viandes (agneau & boeuf), fromage & yaourt de brebis, lait et produits laitiers vache, fruits rouges, miel vin";"Distribution le mercredi de 18h15 à 19h30 dans le bâtiment de la Manufacture des Tabacs (à 500 m à l'Est de la Gare SNCF de Nantes). Tramway ligne 1 arrêt Manufacture ou Moutonnerie."
"Amap de Saint Joseph DE PORTERIE";nantes;44;"https://www.facebook.com/amapstjo/ | go.php?typ=1&id=785";webmaster@amap-stjo.fr;" Légumes, agrumes, fromages, produits laitiers, oeufs, pain, farine, poisson, volaille, boeuf, agneau, galettes, bière, miel, tisanes et autres contrats ponctuels";"Distribution le mercredi de 18h à 19h à l'Ecole primaire Saint-Yves à Saint Joseph de Porterie (quartier Nantes-Erdre)."
"AMAP des Croqueurs de Bio";nantes;44;go.php?typ=1&id=789;amap.croqueursdebio@gmail.com;" Légumes, agrumes, pommes, pain, volaille, oeufs, viande bovine, poisson, fromage de chèvre, miel, tisanes, sirops, pâtes";"Distribution le mardi de 18h15 à 19h45 à la Maison de Quartier de Saint-Anne ""Le DIX""- 10 place des Garennes."
"AMAP des Locavores Nantais";nantes;44;go.php?typ=1&id=1237;amap.centre.nantes@gmail.com;" Légumes, fruits, jus de fruits, viande, oeufs, poisson, volailles, fromages de brebis et de chèvre, miel, bière";"Distribution le lundi de 18h30 à 19h45 à l'Espace Marion Cahour - 18, rue de Savenay (tram 2 - arrêt Viarme)."
"AMAP des Olivettes";nantes;44;;amap.des.olivettes@gmail.com;" Légumes, agrumes, oeufs, poulet, pain, miel, viandes (boeuf, veau, porc), charcuteries, fraises, café";"Distribution le jeudi de 18h15 à 19h45 au ""Chauffe Marcel"" - 18, rue des Olivettes."
"AMAP Doulon Toutes-Aides";nantes;44;go.php?typ=1&id=793;contact@amap-doulon-toutes-aides.fr;" Légumes, pommes, produits laitiers, oeufs, pain, farine, volaille, viande, miel";"Distribution le mercredi de 18h à 19h30 au 19, rue Corentin-Bourveau (salle Gay-Lussac)."
"AMAP du Baroudeur";nantes;44;go.php?typ=1&id=2701;amap_baroudeur@riseup.net;" Légumes";"Distribution le mardi de 19h à 20h30 au 43, rue Maréchal Joffre."
"AMAP DU CAMPUS";nantes;44;https://www.facebook.com/amapcampus/;amap.univ.nantes@gmail.com;" Légumes, fruits, oeufs";"Distribution un mercredi sur deux de 18h30 à 19h30 au pôle étudiant - Chemin de la Censive du Tertre."
"AMAP du Chêne d'Aron";nantes;44;go.php?typ=1&id=794;patrice.razet@gmail.com;" Légumes, pain, ?ufs, volaille, fromages (chèvre et vache), viandes en colis, champignons, miel";"Distribution le mercredi de 18h15 à 19h30 à l'école primaire du Chêne d'Aron - 3, rue de l'héronnière."
"AMAP du Croissant";nantes;44;go.php?typ=1&id=795;amap.croissant@gmail.com;" Légumes, fruits, jus de pommes, agrumes, pain, oeufs, pommes, fromages, miel";"Distribution le jeudi de 18h30 à 19h30 à la Maison de quartier BOTTIERE - 147, Route de Sainte Luce."
"Amap du Grand Clos";nantes;44;go.php?typ=1&id=2507;amapgrandclos@gmail.com;" Légumes, pain, oeufs, galette, viandes, poisson";"Distribution le mardi de 19h à 20h à la ""Cabane du Grand Clos"" » - route de St-Joseph-de-Porterie (face Intermarché)."
"AMAP Fair baskets";nantes;44;"https://fr-fr.facebook.com/fairbaskets/ | go.php?typ=1&id=2503";fairbasket44@gmail.com;" Légumes BIO, pain BIO";"Distribution le mardi de 12h30 à 13h45 sur le parking d'Audencia (campus de la Jonelière)."
"AMAP Le Potager du Vieux Doulon";nantes;44;go.php?typ=1&id=1371;amap.lepotagerduvieuxdoulon@yahoo.fr;" Légumes, fruits, produits laitiers, volailles, viande, poisson, oeufs, pain, farine";"Distribution le lundi (semaines paires) de 18h à 19h à maison de quartier de Doulon - 1, rue de la Basse Chénaie (à côté du Collège de la Colinière)."
"AMAP les Mandits";nantes;44;go.php?typ=1&id=1388;amapviandedesmandits@gmail.com;" Viandes bovine, porcine, ovine";"Distribution à l'hippodrome du Petit-Port 4 fois par an (mars-juin-octobre-décembre)."
"AMAP Liberté";nantes;44;go.php?typ=1&id=809;amapnantesliberte@gmail.com;" Légumes, pommes, pain, oeufs, fromages de chèvre, volailles, galettes, crêpes";"Distribution le mercredi de 18h45 à 19h30 au 8, rue de la Constitution."
"AMAP Malakoff";nantes;44;go.php?typ=1&id=810;amapmalakoff44-referents@framalistes.org;" Légumes, oeufs, volailles, produits laitiers, viande";"Distribution le jeudi de 18h à 19h30 au 22, rue Marcel Paul."
"AMAP Menou";nantes;44;;jean-luc.girard@developpement-durable.gouv.fr;" Légumes, fruits, volaille";"AMAP d'entreprise DREAL et DRAAF réservée à une communauté de travail et soumise à un accord de la direction. Ne prends pas de personnes extérieures."
"AMAP Paniers du Grand Bottereau";nantes;44;go.php?typ=1&id=813;paniersgrandblottereau@gmail.com;" Légumes, fruits, champignons, oeufs, viandes, volaille, poisson, coquilles St Jacques, fromages de chèvre, farine, miel, pain, farine, lentilles, confitures, compotes, chutneys, sirops, bière";"Distribution le mardi de 18h30 à 19h45 au parc du grand Bottereau - Boulevard Auguste Peneau."
"Amap Paradis du Petit Bois";nantes;44;go.php?typ=1&id=1389;benjaminfriou@hotmail.fr;" Légumes, fruits et jus, pain, poisson, oeufs, poulet, fromage de chèvre, produits laitiers";"Distribution le jeudi de 18h30 à 19h30 à La Conserverie - 9, rue Nicolas Appert."
"AMAP Petit Breton";nantes;44;go.php?typ=1&id=814;amap.petitbreton@gmail.com;" Légumes, fruits, oeufs, produits laitiers, poisson, poulet, viande, sel, miel";"Distribution le mercredi de 18h à 19h30 au 103, rue du Corps de Garde."
"AMAP Poissons Calipazo";nantes;44;;;" Poissons";"Distribution de 18h15 et 19h30 à l'Ecole de la Mutualité (entrée par la rue des droits de l'Homme) > voir sur le site les dates de livraison. Ce contrat poisson est ouvert à toutes les familles de préférence des quartiers St-Yves - Ste-Anne - Chantenay - Zola- Canclaux. Calipazo est le regroupement de six AMAP."
"AMAP Poissons Hippodrome";nantes;44;go.php?typ=1&id=1374;meliii044@gmail.com;" Poissons";"Distribution le jeudi de 18h à 19h30 à l'Hippodrome - Boulevard des Tribunes."
"AMAP Poissons Nantes est";nantes;44;go.php?typ=1&id=1394;//www.amap44.org/item/amap-poissons-nantes-est/;" Poissons";"Distribution le mardi de 18h30 à 19h45 à la salle du grand Bottereau - 16, Boulevard Auguste Peneau."
"AMAP Port Boyer";nantes;44;go.php?typ=1&id=816;amap.portboyer@gmail.com;" Légumes, ?ufs, poulets, pain, galettes, pommes et jus, fruits d'été, miel, b?uf, veau, agneau, produits laitiers de brebis";"Distribution le mardi de 19h à 20h au 4, rue de la Turballe (cour de l'école élémentaire ou foyer autonomie en cas de grand froid)."
"AMAP Saint-Jo";nantes;44;go.php?typ=1&id=2177;amap.saintjo@free.fr;" Légumes, agrumes, fromages, produits laitiers, oeufs, pain, farine, poisson, volaille, boeuf, agneau, galettes, bière, miel, tisanes et autres contrats ponctuels";"Distribution le mercredi de 18h à 19h sous le préau de l'école primaire Saint Yves à Saint Joseph de Porterie (quartier Nantes-Erdre)."
"AMAP Société Générale";nantes;44;go.php?typ=1&id=2728;amapsgss@gmail.com;" Légumes";"Distribution le jeudi de 12h30 à 13h30 sur le parking de l'entreprise - rue du champ de Tir. AMAP réservée aux salariés."
"AMAP St-Félix";nantes;44;go.php?typ=1&id=820;amapstfelix@gmail.com;" Légumes BIO, agrumes, fromages, laitages, oeufs, champignons-shiitake, volailles";"Distribution le mercredi de 18h45 à 19h30 - 39, rue Félix Thomas."
"AMAP Zola";nantes;44;go.php?typ=1&id=822;amap.zola@gmail.com;" Légumes, fruits, agrumes, oeufs, pain, produits laitiers, poisson, viandes, vin, miel";"Distribution le jeudi de 18h à 19h30 sous le préau de la Maison des Associations - 11, rue du Prinquiau (quartier Zola)."
Castor'AMAP;nantes;44;go.php?typ=1&id=823;castor_amap@yahoo.fr;" Légumes, pain, farine, ?ufs, poulet, poisson, produits laitiers, vin, confiture, miel";"Distribution le mardi de 18h15 à 19h15 au ""Bier Market"" 8, Bd Koenig (Quartier St Yves)."
"La Cantine de Livresse";nantes;44;go.php?typ=1&id=2506;lesjardinsdelavallee44450@gmail.com;" Légumes BIO";"Distribution le mardi de 19h30 à 20h30 au 9, rue de l'hôtel de ville."
"La Carotte de Chantenay";nantes;44;"https://www.facebook.com/amaplacarottedechantenay/ | go.php?typ=1&id=827";lacarottedechantenay@gmail.com;" Légumes BIO, pain BIO, oeufs BIO, volaille BIO, fromage de brebis BIO";"Distribution le mercredi de 18h15 à 19h45 à l'Ecole Alphonse Braud - entrée 9, rue Philippe de Cabrol."
"Le Panier de Sèvre";nantes;44;go.php?typ=1&id=830;lepanierdesevre@gmail.com;" Légumes, fruits, produits laitiers, oeufs, volaille, porc";"Distribution le lundi de 18h à 19h30 dans les Jardins de la Crapaudine - Avenue des Gobelets."
"Les Amis des Amaps de la Prime";nantes;44;"https://www.facebook.com/groups/amaplaprime/1524108324571696 | go.php?typ=1&id=831";contact@amaplaprime-nantes.fr;" Légumes, fruits, jus de pommes, agrumes, pain, volaille, poisson, viandes (boeuf / porc /agneau), miel, oeufs, produits laitiers vache, crêpes/galettes, champignons, confitures, pâtes/farine";"Distribution le jeudi de 18h15 à 19h30 au local de la Prime - 5, place Alexandre Vincent (près de l'église Ste Thérèse). Autres produits : plantes médicinales"
"Les Crapauds Dînent";nantes;44;;info.crapauds@gmail.com;" Légumes, oeufs, volaille, viande de porc, agrumes, miel";"Distribution le mardi de 18h30 à 19h30 au 15, rue des Gobelets."
"Les Paniers de l'Anoph";nantes;44;https://www.facebook.com/groups/1924513030936350/about/;paniersdelanoph@gmail.com;" Légumes BIO, pommes, oeufs";"Distribution le mercredi de 18h à 19h15 dans le hall devant l?accueil de la Fac de la Faculté de Médecine et de Pharmacie - 1, rue Gaston Veil."
"Panais de la dernière pluie";nantes;44;go.php?typ=1&id=2174;//www.amap44.org/panais-de-la-derniere-pluie//gestionCircuit.stp?ACTION=NOUS_CONTACTER&local=MW;" Légumes, ?ufs, poulets, miel";"Distribution le mardi de 17h à 18h30 au 1, rue de la Loire. Ceci est une AMAP d'entreprise réservée aux salariés du Conseil Régional des Pays de la Loire."
"AMAP de Nort sur Erdre";nort-sur-erdre;44;go.php?typ=1&id=1369;amap.nort@gmail.com;" Légumes, viandes, oeufs, produits laitiers, pain, fromages, miel";"Distribution le mardi de 18h30 à 19h30 sous le préau du Verger de Sauvegarde des Ainés Ruraux à la Garenne (route d'Héric)."
"AMAP de la PRAUDIERE";orvault;44;go.php?typ=1&id=1392;amap.praudiere.orvault@gmail.com;" Légumes, produits laitiers vache, fromage de chèvre, pain, oeufs, miel, volaille, viande de porc";"Distribution le mardi de 18h à 19h à la Salle municipale ELIA ? 40, rue de la Mulonnière."
"AMAP du Bourg";orvault;44;go.php?typ=1&id=769;amap.bourg.orvault@gmail.com;" Légumes, fruits, agrumes, produits laitiers, pain, oeufs, poisson, viande, champignons de Paris";"Distribution le jeudi de 18h15 à 19h30 à la Maison de la Carrière (Salle Pacaille) -derrière la mairie."
"AMAP du PETIT CHANTILLY";orvault;44;go.php?typ=1&id=780;amap.chantilly.orvault@gmail.com;" Légumes, ?ufs, pains, produits laitiers vache, volailles, miel, pommes & poires, agrumes de Corse, champignons, fromage de chèvre, fromage de brebis, galettes, fraises, asperges en saison";"Distribution le mercredi de 17h30 à 19h à la Ferme du Bignon (salle du Muguet) - 25, rue Alfred NOBEL."
"AMAP La Bugallière";orvault;44;go.php?typ=1&id=826;amap.bugalliere@free.fr;" Légumes, fruits, pain, farine, produits laitiers, fromages, viandes, miel, volailles, poisson, huile, oeufs, champignons";"Distribution le jeudi de 18h15 à 19h30 à la Ferme de la Bugallière - Rue du Pont Marchand."
"AMAP Hommes de Terre";oudon;44;go.php?typ=1&id=802;nathalie.antoine6@orange.fr;" Légumes, fruits, pain, farine, volaille, produits laitiers, oeufs, viande, crêpes";"Distribution le mercredi de 18h à 19h sur le site de la Vallée."
"AMAP Paimblotine";paimboeuf;44;go.php?typ=1&id=767;contact@amappaimblotine.org;" Légumes, fruits, jus de pommes, pain, farine, fromage, oeufs, viandes, volaille, tisanes, herbes aromatiques, miel, pâtes";"Distribution le jeudi de 18h à 19h sous les Halles de la Place du Marché."
"AMAP de Petit-Mars";petit-mars;44;go.php?typ=1&id=784;amapdepetitmars@gmail.com;" Légumes, oeufs, fromage de chèvre, pain, produits transformés (canard & dinde), poulet, fromage de chèvre, colis de dindes découpées, confitures, compotes, jus de fruits, miel, farines diverses, pâtes";"Distribution le mardi de 18h à 19h à la ferme du Grand jardin à La Pénoue. ATTENTION : les colis de dindes découpées sont livrés tous les 4 jeudis de 19h à 19h30 au complexe Fernand Sastre. Contact téléphonique : 07 76 18 88 23 Tous les produits sont frais, bios et de proximité (Petit Mars et Canton de Nort sur Erdre) en circuit court."
"AMAP Martipontaine";pont-saint-martin;44;go.php?typ=1&id=1372;amap.martipontaine@gmail.com;" Légumes, viande porcine, fromage, produits laitiers, pain, oeufs, volaille, crêpes, galettes";"Distribution le jeudi de 18h à 19h sous le préau de l'Ecole Saint Joseph."
"Amap de PONTCHÂTEAU";pontchateau;44;go.php?typ=1&id=2489;katell.ody@wanadoo.fr;" Légumes, pain BIO, volaille";"Cette AMAP sera en veille pour la saison 2019-2020. Arrêt des distributions à partir du 31 aôut 2019. Si des personnes sont intéressées pour relancer l'Amap contacter Katell Ody."
"AMAP Pornic";pornic;44;go.php?typ=1&id=815;amappornic@mailo.com;" Légumes, fruits, pain, farine, oeufs, viandes, volaille, produits laitiers, sel, confitures, tisanes";"Distribution le jeudi de 17h30 à 19h30, rue de la Basse Cure à Clion-sur-Mer"
"AMAP LES FANES DE RAGON";reze;44;"https://fr-fr.facebook.com/LesFanesDeRagon/ | go.php?typ=1&id=2032";lesfanesderagon@gmail.com;" Légumes BIO, volailles BIO, oeufs BIO, viande bovine BIO, millet BIO, miel BIO, pommes et jus de pommes BIO, pains et farines BIO";"Distribution le mercredi de 19h à 20h au Centre Socio-Culturel de Ragon (Rezé sud) - 15, rue du vivier."
"AMAP Rezé St Paul - SPAM";reze;44;go.php?typ=1&id=817;amaprezestpaul@gmail.com;" Légumes, fruits, crêpes, galettes, pain, oeufs, poisson, viandes, poulets, vin";"Distribution le mercredi de 18h15 à 19h30 dans la salle Jean Jaurès - 40, rue Jean Jaurès."
"L'AMAP Qui Ramène Sa Fraise";reze;44;go.php?typ=1&id=1390;amapqsrf@gmail.com;" Légumes, ?ufs, poulets, b?uf, veau, pain, sel";"Distribution le lundi de 18h à 19h30 au 40, rue Jean Jaurès."
"AMAP DU BOURG DE ST-HERBLAIN";saint-herblain;44;go.php?typ=1&id=1387;amapbourg.stherblain@gmail.com;" Légumes, produits laitiers, fromage, oeufs, poulets, sel";"Distribution le jeudi de 18h30 à 19h30 - 5, chemin de la Solvardière (Ecole) dans le bourg."
"AMAP du Tillay-Bourg";saint-herblain;44;go.php?typ=1&id=798;amap.tillay@gmail.com;" Légumes, pommes, poires, agrumes, fromage, produits laitiers, ?ufs, miel, pain d'épices, pain, poisson, poulet, sel, viandes, crêpes, galettes";"Distribution le jeudi de 19h à 20h au Centre Socio-culturel du Tillay (salle Camille Desmoulins) - 11, rue du Tillay."
"AMAP DE SAINT YO";saint-julien-de-concelles;44;go.php?typ=1&id=2775;amapstyo44@outlook.fr;" Légumes BIO, oeufs, pain, volaille, kiwis, produits laitiers, miel";"Distribution le vendredi de 18h15 à 19h15 à l'Espace petit campus - 8, rue de la Loire."
"AMAP SAINT-MICHEL-THARON";saint-michel-chef-chef;44;go.php?typ=1&id=786;amap.saintmichel@gmail.com;" Légumes, pommes, oeufs, volailles, pain, produits laitiers, viande bovine, tisanes";"Distribution de 17h15 à 19h à la salle de la Hervière."
"ACAPE Ville-Port";saint-nazaire;44;go.php?typ=1&id=2322;acape.villeport@gmail.com;" Légumes, oeufs, pain, crêpes, galettes, fromages de chèvre";"Distribution le jeudi de 17h30 à 19h au bar ""Sous les palmiers la plage""- 8, boulevard de Verdun. ATTENTION il ne s'agit pas d'une AMAP mais d'une Alliance de Consom?Acteur-rice-s, de Paysan-ne-s et d?associations Écologistes du quartier Ville-Port."
"AMAP de l'Estuaire";saint-nazaire;44;go.php?typ=1&id=775;potagerdelimpassse@gmail.com;" Légumes BIO, fromage de chèvre, pain, crêpes,";"Distribution le jeudi de 17h à 19h devant la recyclerie ""Au bonheur des bennes""."
"AMAP des Colibris";saint-pere-en-retz;44;go.php?typ=1&id=788;eric.souffleux@orange.fr;" Légumes BIO, oeufs, poulets";"Distribution le lundi de 17h30 à 19h30 à La Ferme des Colibris - La Mouraudière."
